index,date,duration,item,month,network
0,15/10/2014 06:58,34.429,data,2014-11,Tesco
1,15/10/2014 06:58,13.0,,2014-11,Vodafone
2,15/10/2014 14:46,23.0,call,2014-11,Meter
3,15/10/2014 14:48,4.0,call,2014-11,Tesco
4,15/10/2014 17:27,4.0,call,2014-11,Tescoss
5,15/10/2014 18:55,4.0,call,2014-11,Tesco
6,16/10/2014 06:58,34.429,data,2014-11,Tesco
7,16/10/2014 15:01,602.0,call,2014-11,Three
8,16/10/2014 15:12,1050.0,call,2014-11,Three
9,16/10/2014 15:30,19.0,call,2014-11,Tesco
10,16/10/2014 16:21,1183.0,call,2014-11,Three
11,16/10/2014 22:18,,sms,2014-11,Meteor
12,16/10/2014 22:21,1.0,sms,2014-11,Meteor
13,17/10/2014 06:58,34.429,data,2014-11,Tesco
14,17/10/2014 10:53,1.0,sms,2014-11,Tescos
15,17/10/2014 11:19,1.0,sms,2014-11,Tesco
16,17/10/2014 11:20,1.0,sms,2014-11,Meteor
17,17/10/2014 17:22,1.0,sms,2014-11,Vodafone
18,17/10/2014 17:23,,sms,2014-11,Vodafone
19,17/10/2014 17:26,92.0,call,2014-11,Three
20,17/10/2014 17:29,4.0,call,2014-11,Vodafone
21,17/10/2014 17:30,375.0,call,2014-11,Tesco
22,17/10/2014 17:42,1.0,sms,2014-11,Vodafone
23,17/10/2014 17:44,1.0,sms,2014-11,Vodafone
24,17/10/2014 17:44,1.0,sms,2014-11,Vodafone
25,17/10/2014 17:44,1.0,sms,2014-11,Vodafone
26,18/10/2014 06:58,34.429,data,2014-11,Tesco
27,18/10/2014 11:51,783.0,call,2014-11,Tesco
28,18/10/2014 12:06,4.0,call,2014-11,Vodafone
29,18/10/2014 12:06,3.0,call,2014-11,Vodafone
30,18/10/2014 13:08,101.0,call,2014-11,Vodafone
31,18/10/2014 13:10,1714.0,call,2014-11,Three
32,18/10/2014 14:01,96.0,call,2014-11,Tesco
33,18/10/2014 18:52,1.0,sms,2014-11,Vodafone
34,18/10/2014 20:44,384.0,call,2014-11,Three
